"title","audience_score","genre","studio","runtime","mpaa_rating","rel_year","rel_month","rel_day","critics_rating","critics_score","rt_num_votes","imdb_num_votes","imdb_avg_score","budget","best_dir_win","best_actor_win","director","actor1","actor2","actor3","actor4","actor5"
"Girls Against Boys",29,"Drama","Other",93,"R",2013,2,1,"Rotten",25,823,3379,4.8,NA,0,0,"Austin Chick","Danielle Panabaker"," Nicole LaLiberte"," Andrew Howard"," Liam Aiken"," Michael Stahl-David"
"Complete Unknown",24,"Drama","Other",91,"R",2016,8,26,"Rotten",52,967,5584,5.4,NA,0,0,"Joshua Marston","Rachel Weisz"," Michael Shannon"," Kathy Bates"," Danny Glover"," Michael Chernus"
"Down the Shore",36,"Drama","Anchor Bay Entertainment",93,"R",2013,4,5,"Rotten",45,319,1042,5.9,NA,0,0,"Harold Guskin","James Gandolfini"," Famke Janssen"," Edoardo Costa"," Maria Dizzia"," John Magaro"
"The Whole Truth",33,"Drama","Other",93,"PG-13",2016,10,21,"Rotten",30,955,22999,6.2,NA,0,0,"Courtney Hunt","Keanu Reeves"," Renée Zellweger"," Gugu Mbatha-Raw"," Gabriel Basso"," Jim Belushi"
"Payback",69,"Action & Adventure","Paramount Pictures",101,"R",1999,2,5,"Rotten",55,98965,680,5.8,NA,0,0,"Brian Helgeland","Mel Gibson"," Gregg Henry"," Maria Bello"," Deborah Kara Unger"," David Paymer"
"The Girl from the Naked Eye",20,"Action & Adventure","Other",84,"R",2012,6,15,"Rotten",40,276,1964,4.8,1100000,0,0,"David Ren","Samantha Streets"," Ron Yuan"," Dominique Swain"," Sasha Grey"," Gary Stretch"
"Steal This Movie",71,"Art House & International","Lionsgate Entertainment",111,"R",2000,3,4,"Rotten",51,2918,2179,6.5,NA,0,0,"Robert Greenwald","Vincent D'Onofrio"," Janeane Garofalo"," Jeanne Tripplehorn"," Kevin Pollak"," Donal Logue"
"Claire of the Moon",45,"Drama","Other",103,"NR",2012,8,31,"Rotten",13,1640,919,5.1,130000,0,0,"Nicole Conn","Trisha Todd"," Karen Trumbo"," Faith McDevitt"," Caren Graham"," Sheila Dickinson"
"The Good Neighbor",46,"Mystery & Suspense","Other",97,"NR",2016,9,16,"Rotten",29,927,15467,6.3,NA,0,0,"Kasra Farahani","James Caan"," Keir Gilchrist"," Logan Miller"," Edwin Hodge"," Laura Innes"
"Shelter",85,"Drama","Other",97,"R",2007,6,16,"Fresh",60,3982,181,5.7,NA,0,0,"Jonah Markowitz","Trevor Wright"," Brad Rowe"," Tina Holmes"," Jackson Wurth"," Katie Walder"
"Despicable Me 3",53,"Animation","Universal Pictures",90,"PG",2017,6,30,"Rotten",58,78655,108791,6.3,8e+07,0,0,"Kyle Balda","Steve Carell"," Kristen Wiig"," Trey Parker"," Miranda Cosgrove"," Dana Gaier"
"This Is Martin Bonner",70,"Drama","Monterey Media",83,"R",2013,8,14,"Fresh",93,718,900,6.5,42000,0,0,"Chad Hartigan","Paul Eenhoorn"," Richmond Arquette"," Robert Longstreet"," Sam Buchanan"," Demetrius Grosse"
"Premium",64,"Comedy","Other",97,"R",2007,2,23,"Fresh",100,2943,481,5.6,NA,0,0,"Pete Chatmon","Dorian Missick"," Zoe Saldana"," William Sadler"," Frankie Faison"," Tonya Pinkins"
"Madame Bovary",26,"Art House & International","Other",118,"R",2015,6,12,"Rotten",43,2943,2322,7.1,NA,0,0,"Sophie Barthes","Mia Wasikowska"," Ezra Miller"," Rhys Ifans"," Paul Giamatti"," Laura Carmichael"
"Bloodline",56,"Horror","Other",98,"R",2019,9,20,"Rotten",53,111,111,3.3,150000,0,0,"Henry Jacobson","Seann William Scott"," Mariela Garriga"," Dale Dickey"," Kevin Carroll"," Nick Boraine"
"Cocaine Angel",53,"Art House & International","Other",NA,"NR",2007,2,21,"Fresh",60,598,294,5.2,NA,0,0,"Michael Tully","Damian Lahey"," Kelly Forester"," Richard Dawson"," Jamie Dawson"," Brenda Benfield"
"Future World",12,"Mystery & Suspense","Lionsgate Entertainment",90,"R",2018,5,25,"Rotten",0,363,5247,3.2,NA,0,0,"James Franco","James Franco"," Suki Waterhouse"," Jeffrey Wahlberg"," Margarita Levieva"," Snoop Dogg"
"The Matrix",85,"Action & Adventure","Warner Bros",136,"R",1999,3,31,"Certified-Fresh",88,33324202,1632315,8.7,6.3e+07,0,0,"Lilly Wachowski","Keanu Reeves"," Laurence Fishburne"," Carrie-Anne Moss"," Joe Pantoliano"," Hugo Weaving"
"8 Seconds",94,"Drama","Sony Pictures",104,"PG-13",1994,2,25,"Rotten",31,56354,4757,6.6,7e+06,1,0,"John G. Avildsen","Luke Perry"," Stephen Baldwin"," Cynthia Geary"," James Rebhorn"," Red Mitchell"
"My Boyfriend's Back",45,"Comedy","Buena Vista",84,"PG-13",1993,8,6,"Rotten",14,7212,4192,5.4,1.2e+07,0,0,"Bob Balaban","Andrew Lowery"," Traci Lind"," Danny Zorn"," Edward Herrmann"," Mary Beth Hurt"
"Meet the Blacks",72,"Comedy","Other",93,"R",2016,4,1,"Rotten",17,6882,35472,4.8,9e+05,0,0,"Deon Taylor","Mike Epps"," Charlie Murphy"," Andrew Bachelor"," Bresha Webb"," George Lopez"
"Lovely, Still",75,"Drama","Monterey Media",90,"PG",2010,9,10,"Fresh",73,1627,2092,7.1,5e+06,0,0,"Nik Fackler","Martin Landau"," Ellen Burstyn"," Elizabeth Banks"," Adam Scott"," Scott Beehner"
"The Pest",68,"Comedy","Sony Pictures",82,"PG-13",1997,2,7,"Rotten",8,31495,7828,5,1.7e+07,0,0,"Paul Miller","John Leguizamo"," Jeffrey Jones"," Eduardo Ballerini"," Edoardo Ballerini"," Freddy Rodriguez"
"Flight of the Phoenix",40,"Action & Adventure","20th Century Fox",112,"PG-13",2004,12,17,"Rotten",30,59194,51109,6.1,4.5e+07,0,0,"John Moore (V)","Dennis Quaid"," Tyrese Gibson"," Giovanni Ribisi"," Miranda Otto"," Tony Curran"
"Black Dynamite",85,"Action & Adventure","Sony Pictures",90,"R",2009,10,16,"Certified-Fresh",83,15649,45081,7.4,2900000,0,0,"Shawn Maurer","Michael Jai White"," Obba Babatundé"," Kevin Chapman"," Tommy Davidson"," Richard Edson"
"Get Hard",45,"Comedy","Warner Bros",99,"R",2015,3,27,"Rotten",28,53318,120243,6,4e+07,0,0,"Etan Cohen","Will Ferrell"," Kevin Hart"," T.I."," Alison Brie"," Craig T. Nelson"
"Three of Hearts",35,"Comedy","Sony Pictures",105,"R",1993,4,30,"Rotten",53,1490,1910,5.5,1.1e+07,0,0,"Yurek Bogayevicz","William Baldwin"," Kelly Lynch"," Sherilyn Fenn"," Joe Pantoliano"," Gail Strickland"
"Runner Runner",33,"Drama","20th Century Fox",91,"R",2013,10,4,"Rotten",8,43051,60027,5.6,3e+07,0,0,"Brad Furman","Justin Timberlake"," Gemma Arterton"," Ben Affleck"," Anthony Mackie"," Oliver Cooper"
"American Sniper",84,"Action & Adventure","Warner Bros",132,"R",2015,1,16,"Certified-Fresh",72,153418,429820,7.3,58800000,1,0,"Clint Eastwood","Bradley Cooper"," Sienna Miller"," Luke Grimes"," Kyle Gallner"," Ben Reed"
"Play It to the Bone",25,"Action & Adventure","Touchstone Pictures",124,"R",1999,12,24,"Rotten",11,10379,11356,5.5,2.4e+07,0,0,"Ron Shelton","Woody Harrelson"," Antonio Banderas"," Lolita Davidovich"," Lucy Liu"," Tom Sizemore"
"Varsity Blues",76,"Drama","Paramount Pictures",104,"R",1999,1,15,"Rotten",43,122844,41256,6.5,1.6e+07,0,0,"Brian Robbins","James Van Der Beek"," Jon Voight"," Paul Walker"," Ron Lester"," Scott Caan"
"Shattered",56,"Art House & International","MGM",98,"R",1991,10,11,"Rotten",36,4371,8026,6.5,2.2e+07,0,0,"Wolfgang Petersen","Tom Berenger"," Bob Hoskins"," Greta Scacchi"," Joanne Whalley"," Theodore Bikel"
"Step Brothers",69,"Comedy","Columbia Pictures",95,"R",2008,7,25,"Rotten",55,365915,263102,6.9,6.5e+07,0,0,"Adam McKay","Will Ferrell"," John C. Reilly"," Mary Steenburgen"," Richard Jenkins"," Adam Scott"
"Another 48 Hrs.",35,"Action & Adventure","Paramount Pictures",95,"R",1990,6,8,"Rotten",21,59438,37624,5.9,3.8e+07,0,0,"Walter Hill","Eddie Murphy"," Nick Nolte"," Brion James"," Kevin Tighe"," Ed O'Ross"
"The Innkeepers",42,"Horror","Magnolia Pictures",101,"R",2012,2,3,"Certified-Fresh",79,93092,32546,5.4,750000,0,0,"Ti West","Sara Paxton"," Pat Healy"," Kelly McGillis"," George Riddle"," Alison Bartlett O'Reilly"
"Double Impact",42,"Action & Adventure","Sony Pictures",108,"R",1991,8,9,"Rotten",35,48794,37262,5.6,1.5e+07,0,0,"Sheldon Lettich","Jean-Claude Van Damme"," Geoffrey Lewis"," Alan Scarfe"," Alonna Shaw"," Philip Chan"
"Bad Blood: The Movie",79,"Horror","Other",80,"NR",2017,10,13,"Fresh",100,64,262,4.2,NA,0,0,"Tim Reis","Mary Malloy"," Vikas Adam"," Troy Halverson"," Brian Troxell"," Grayson Kilpatrick"
"Christmas Eve",53,"Comedy","Other",96,"PG",2015,12,4,"Rotten",0,958,476,5.9,NA,0,0,"Mitch Davis","Patrick Stewart"," James Rodriguez"," Jon Heder"," Gary Cole"," Julianna Guill"
"Phat Girlz",65,"Comedy","20th Century Fox",99,"PG-13",2006,4,7,"Rotten",21,67237,8662,3.2,3e+06,0,0,"Nnegest Likké","Mo'Nique"," Jimmy Jean-Louis"," Godfrey"," Kendra C. Johnson"," Joyful Drake"
"Flawless",53,"Comedy","MGM",112,"R",1999,11,24,"Rotten",41,7707,17481,6.5,1.5e+07,0,1,"Joel Schumacher","Robert De Niro"," Philip Seymour Hoffman"," Barry Miller"," Chris Bauer"," Skipp Sudduth"
"The 6th Day",32,"Action & Adventure","Columbia Pictures",124,"PG-13",2000,11,17,"Rotten",40,125879,115106,5.9,8.2e+07,0,0,"Roger Spottiswoode","Arnold Schwarzenegger"," Michael Rapaport"," Tony Goldwyn"," Michael Rooker"," Wendy Crewson"
"Corporate Animals",15,"Comedy","Screen Media Films",86,"R",2019,9,20,"Rotten",25,50,2093,4.3,NA,0,0,"Patrick Brice","Jessica Williams"," Karan Soni"," Isiah Whitlock Jr."," Martha Kelly"," Dan Bakkedahl"
"In the Line of Fire",79,"Action & Adventure","Sony Pictures",128,"R",1993,7,9,"Certified-Fresh",96,55060,90512,7.2,4e+07,0,0,"Wolfgang Petersen","Clint Eastwood"," John Malkovich"," Rene Russo"," Dylan McDermott"," Gary Cole"
"Adventures of Power",49,"Comedy","Other",96,"PG-13",2009,10,23,"Rotten",32,1034,1844,5.9,2500000,0,0,"Ari Gold","Ari Gold"," Michael McKean"," Jane Lynch"," Adrian Grenier"," Shoshannah Stern"
"Imperium",64,"Drama","Other",108,"R",2016,8,19,"Certified-Fresh",85,8674,41055,6.5,NA,0,0,"Daniel Ragussis","Daniel Radcliffe"," Toni Collette"," Tracy Letts"," Seth Numrich"," Pawel Szajda"
"Frozen",46,"Drama","Other",93,"R",2010,2,5,"Fresh",63,20649,66334,6.1,NA,0,0,"Adam Green","Emma Bell"," Shawn Ashmore"," Kevin Zegers"," Ed Ackerman"," Rileah Vanderbilt"
"Final Destination",68,"Horror","New Line Cinema",97,"R",2000,3,17,"Rotten",35,483542,224856,6.7,2.3e+07,0,0,"James Wong","Devon Sawa"," Ali Larter"," Kerr Smith"," Kristen Cloke"," Daniel Roebuck"
"Vigilante Diaries",69,"Action & Adventure","Other",84,"R",2016,6,24,"Rotten",14,216,4183,5.5,1e+06,0,0,"Christian Sesma","Paul Sloan"," Quinton ""Rampage"" Jackson"," Michael Jai White"," Jason Mewes"," Michael Madsen"
"Rendition",62,"Drama","New Line Cinema",122,"R",2007,10,19,"Rotten",47,305473,53672,6.8,27500000,0,0,"Gavin Hood","Jake Gyllenhaal"," Reese Witherspoon"," Peter Sarsgaard"," Alan Arkin"," Meryl Streep"
"Groundhog Day",88,"Comedy","Columbia Pictures",96,"PG",1993,2,12,"Certified-Fresh",96,416690,569359,8,14600000,0,0,"Harold Ramis","Bill Murray"," Andie MacDowell"," Chris Elliott"," Stephen Tobolowsky"," Brian Doyle-Murray"
"Roger Dodger",76,"Comedy","Artisan Entertainment",104,"R",2002,11,1,"Certified-Fresh",88,8245,16757,6.9,NA,0,0,"Dylan Kidd","Campbell Scott"," Jesse Eisenberg"," Isabella Rossellini"," Elizabeth Berkley"," Jennifer Beals"
"Laura Smiles",54,"Drama","Other",98,"R",2006,9,22,"Rotten",47,818,213,5.8,NA,0,0,"Jason Ruscio","Petra Wright"," Kip Pardue"," Jonathan Silverman"," Mark Derwin"," Ted Hartley"
"Moana",89,"Action & Adventure","Walt Disney Studios",113,"PG",2016,11,23,"Certified-Fresh",95,69449,260900,7.6,1.5e+08,0,0,"Ron Clements","Auli'i Cravalho"," Dwayne Johnson"," Rachel House"," Temuera Morrison"," Jemaine Clement"
"Venom",81,"Action & Adventure","Columbia Pictures",112,"PG-13",2018,10,5,"Rotten",30,40316,9490,4.6,NA,0,0,"Ruben Fleischer","Tom Hardy"," Riz Ahmed"," Scott Haze"," Reid Scott"," Jenny Slate"
"Whiskey Tango Foxtrot",55,"Comedy","Paramount Pictures",111,"R",2016,3,4,"Fresh",68,22429,48770,6.6,3.5e+07,0,0,"Glenn Ficarra","Tina Fey"," Margot Robbie"," Martin Freeman"," Christopher Abbott"," Billy Bob Thornton"
"Emperor",68,"Drama","Universal Pictures",99,"PG-13",2020,3,27,"Fresh",77,31,277,4.8,NA,0,0,"Mark Amin","Dayo Okeniyi"," Naturi Naughton"," Kat Graham"," Mykelti Williamson"," James Cromwell"
"She's the One",41,"Comedy","20th Century Fox",96,"R",1996,8,23,"Fresh",61,13977,16262,6,3500000,0,0,"Edward Burns","Jennifer Aniston"," Maxine Bahns"," Edward Burns"," Cameron Diaz"," John Mahoney"
"Zombieland",86,"Comedy","Sony Pictures",87,"R",2009,10,2,"Certified-Fresh",89,643354,510818,7.6,23600000,0,0,"Ruben Fleischer","Woody Harrelson"," Jesse Eisenberg"," Emma Stone"," Abigail Breslin"," Amber Heard"
"The Salton Sea",82,"Action & Adventure","Warner Bros",103,"R",2002,4,26,"Fresh",64,21338,29317,7.1,1.8e+07,0,0,"D.J. Caruso","Val Kilmer"," Vincent D'Onofrio"," Adam Goldberg"," Luis Guzman"," Doug Hutchison"
"Single White Female",44,"Drama","Columbia Pictures",107,"R",1992,8,14,"Rotten",54,39086,31532,6.4,1.6e+07,0,0,"Barbet Schroeder","Bridget Fonda"," Jennifer Jason Leigh"," Steven Weber"," Peter Friedman"," Stephen Tobolowsky"
"Drumline",70,"Comedy","20th Century Fox",118,"PG-13",2002,12,13,"Certified-Fresh",82,322171,32583,5.8,2e+07,0,0,"Charles Stone III","Nick Cannon"," Zoe Saldana"," Orlando Jones"," Leonard Roberts"," GQ"
"The Living Wake",71,"Art House & International","Other",91,"PG-13",2010,5,21,"Rotten",47,650,861,6.3,5e+05,0,0,"Sol Tryon","Mike O'Connell"," Jesse Eisenberg"," Jim Gaffigan"," Ann Dowd"," Eddie Pepitone"
"The Lucky Ones",54,"Comedy","Lionsgate Entertainment",115,"R",2008,9,26,"Rotten",37,11792,13382,6.9,1.5e+07,0,0,"Neil Burger","Rachel McAdams"," Tim Robbins"," Michael Peña"," Annie Corley"," Mark L. Young"
"Gossip",47,"Drama","Warner Bros",91,"R",2000,4,21,"Rotten",29,19059,14277,5.9,2.4e+07,0,0,"Davis Guggenheim","James Marsden"," Lena Headey"," Norman Reedus"," Kate Hudson"," Joshua Jackson"
"Shadowboxer",38,"Action & Adventure","Freestyle Releasing",93,"R",2005,9,9,"Rotten",19,65043,6483,5.5,NA,0,0,"Lee Daniels","Cuba Gooding Jr."," Helen Mirren"," Stephen Dorff"," Vanessa Ferlito"," Joseph Gordon-Levitt"
"Useless Humans",96,"Action & Adventure","Other",77,"NR",2020,7,14,"Rotten",40,146,219,4.2,NA,0,0,"Stephen Ohl","Josh Zuckerman"," Rushi Kota"," Davida Williams"," Luke Youngblood"," Edy Ganem"
"Thunderheart",75,"Action & Adventure","Sony Pictures",119,"R",1992,4,1,"Fresh",89,12143,13704,6.8,1.5e+07,0,0,"Michael Apted","Val Kilmer"," Sam Shepard"," Graham Greene (II)"," Fred Ward"," Fred Dalton Thompson"
"Swimming with Sharks",79,"Comedy","Trimark",93,"R",1995,3,21,"Fresh",78,11084,21592,7.1,7e+05,0,1,"George Huang","Kevin Spacey"," Frank Whaley"," Michelle Forbes"," Benicio Del Toro"," Jerry Levine"
"Desert Saints",54,"Action & Adventure","Other",90,"R",2002,3,10,"Rotten",29,1052,3066,6,NA,0,0,"Richard Greenberg","Kiefer Sutherland"," Melora Walters"," Leslie Stefanson"," Jamey Sheridan"," Rachel Ticotin"
"Step Sisters",46,"Comedy","Netflix",104,"PG-13",2017,12,31,"Rotten",22,168,3911,5.4,1e+07,0,0,"Charles Stone III","Alessandra Toreson"," Megalyn Echikunwoke"," Eden Sher"," Lyndon Smith"," Gage Golightly"
"The Guardian",80,"Action & Adventure","Buena Vista Pictures",139,"PG-13",2006,9,29,"Rotten",37,423111,4917,5.4,NA,0,0,"Andrew Davis","Kevin Costner"," Ashton Kutcher"," Sela Ward"," Melissa Sagemiller"," John Heard"
"Monsters University",81,"Action & Adventure","Walt Disney Studios",102,"G",2013,6,21,"Certified-Fresh",80,305490,313986,7.3,2e+08,0,0,"Dan Scanlon","John Goodman"," Helen Mirren"," Peter Sohn"," Joel Murray"," Sean Hayes"
"Honey",71,"Drama","Universal Pictures",94,"PG-13",2003,12,5,"Rotten",21,466411,42827,5.4,1.8e+07,0,0,"Bille Woodruff","Jessica Alba"," Mekhi Phifer"," Joy Bryant"," David Moscow"," Lonnette McKee"
"Here on Earth",61,"Drama","20th Century Fox",96,"PG-13",2000,3,24,"Rotten",17,20258,8191,5.2,1.5e+07,0,0,"Michael Piznarski","Chris Klein"," Leelee Sobieski"," Josh Hartnett"," Michael Rooker"," Annie Corley"
"Titan A.E.",60,"Animation","20th Century Fox",95,"PG",2000,6,16,"Rotten",51,69385,58060,6.6,7.5e+07,0,0,"Don Bluth","Matt Damon"," Bill Pullman"," Drew Barrymore"," John Leguizamo"," Janeane Garofalo"
"Dylan Dog: Dead of Night",29,"Horror","Freestyle Releasing",107,"PG-13",2011,4,29,"Rotten",7,15326,14499,5.1,2e+07,0,0,"Kevin Munroe","Brandon Routh"," Anita Briem"," Sam Huntington"," Taye Diggs"," Kurt Angle"
"Dear John",55,"Drama","Sony Pictures",107,"PG-13",2010,2,5,"Rotten",29,619059,136257,6.3,2.5e+07,0,0,"Lasse Hallstrom","Channing Tatum"," Amanda Seyfried"," Richard Jenkins"," Henry Thomas"," D.J. Cotrona"
"The Last Rites of Joe May",65,"Drama","Other",102,"NR",2011,11,4,"Fresh",74,1197,663,6.9,NA,0,0,"Joe Maggio","Dennis Farina"," Jamie Anne Allman"," Meredith Droeger"," Ian Barford"," Gary Cole"
"The Vanishing",48,"Mystery & Suspense","Saban Films",107,"R",2019,1,4,"Fresh",85,655,22826,6.3,NA,0,0,"Kristoffer Nyholm","Gerard Butler"," Peter Mullan"," Olafur Darri Olafsson"," Connor Swindells"," Gary Lewis"
"Beautiful Something",48,"Drama","Other",92,"NR",2016,5,6,"Rotten",57,81,817,6.3,4e+05,0,0,"Joseph Graham","Brian Sheppard"," Zack Ryan"," Colman Domingo"," John Lescault"," Peter Patrikios"
"Hatchet",45,"Horror","Anchor Bay Entertainment",83,"R",2006,4,27,"Rotten",55,13792,28336,5.7,1500000,0,0,"Adam Green","Robert Englund"," Joshua Leonard"," Joel David Moore"," Deon Richmond"," Kane Hodder"
"Playing It Cool",33,"Comedy","Vertical Entertainment",94,"R",2015,5,8,"Rotten",14,2430,25241,6,NA,0,0,"Justin Reardon","Chris Evans"," Michelle Monaghan"," Topher Grace"," Peyton List"," Aubrey Plaza"
"Over Her Dead Body",42,"Comedy","New Line Cinema",95,"PG-13",2008,2,1,"Rotten",15,143691,23640,5.2,1e+07,0,0,"Jeff Lowell","Eva Longoria"," Paul Rudd"," Lake Bell"," Jason Biggs"," Lindsay Sloane"
"Spider-Man 3",51,"Action & Adventure","Sony Pictures",133,"PG-13",2007,5,4,"Fresh",62,2265043,489497,6.2,2.58e+08,0,0,"Sam Raimi","Tobey Maguire"," Kirsten Dunst"," James Franco"," Thomas Haden Church"," Topher Grace"
"The Three Stooges",47,"Comedy","20th Century Fox",92,"PG",2012,4,13,"Rotten",52,140543,29609,5.1,3e+07,0,0,"Bobby Farrelly","Sean Hayes"," Will Sasso"," Chris Diamantopoulos"," Jane Lynch"," Sofía Vergara"
"Outsourced",73,"Comedy","Other",98,"PG-13",2007,9,28,"Certified-Fresh",76,6477,11201,7,NA,0,0,"John Jeffcoat","Josh Hamilton"," Ayesha Dharker"," Asif Basra"," Rudolph Rodrigues"," Matt Smith"
"The Ref",73,"Comedy","Other",93,"R",1994,3,9,"Certified-Fresh",72,26999,22890,6.9,1.1e+07,0,0,"Ted Demme","Denis Leary"," Judy Davis"," Kevin Spacey"," Robert J. Steinmiller Jr."," Glynis Johns"
"The Shallows",59,"Drama","Other",87,"PG-13",2016,6,24,"Certified-Fresh",78,32466,117424,6.3,1.7e+07,0,0,"Jaume Collet-Serra","Blake Lively"," Oscar Jaenada"," Sedona Legge"," Brett Cullen"," Angelo Josue"
"Tuscaloosa",85,"Drama","Other",100,"NR",2020,3,13,"Fresh",70,34,147,5.1,NA,0,0,"Philip Harder","Devon Bostick"," Natalia Dyer"," Tate Donavan"," Marchánt Davis"," YG"
"Auto Focus",61,"Drama","Sony Pictures",104,"R",2002,10,18,"Fresh",71,6012,13071,6.6,7e+06,0,0,"Paul Schrader","Greg Kinnear"," Willem Dafoe"," Maria Bello"," Rita Wilson"," Ron Leibman"
"My Brother",65,"Drama","Other",100,"PG-13",2006,3,6,"Rotten",30,1889,321,5.5,NA,0,0,"Anthony Lover","Vanessa L. Williams"," Nashawn Kearse"," Christopher Scott"," Rodney Henry Jr."," Fredro Starr"
"The Frontier",50,"Drama","Other",88,"NR",2016,10,28,"Rotten",50,71,749,5.4,NA,0,0,"Oren Shai","Izabella Miko"," Jamie Harris"," Jim Beaver"," Jocelin Donahue"," Kelly Lynch"
"Deuce Bigalow: Male Gigolo",42,"Comedy","Other",88,"R",1999,12,10,"Rotten",22,382313,69672,5.7,1.7e+07,0,0,"Mike Mitchell","Rob Schneider"," William Forsythe"," Eddie Griffin"," Arija Bareikis"," Chi Chi LaRue"
"Spellbound",83,"Documentary","ThinkFilm",97,"G",2002,3,14,"Certified-Fresh",97,11052,42377,7.6,1696377,0,0,"Jeffrey Blitz","Harry Altman"," Angela Arenivar"," Ted Brigham"," April DeGideo"," Neil Kadakia"
"This Christmas",81,"Drama","Sony Pictures",117,"PG-13",2007,11,21,"Rotten",55,73002,8102,6.3,1.3e+07,0,0,"Preston A. Whitmore II","Delroy Lindo"," Idris Elba"," Loretta Devine"," Columbus Short"," Regina King"
"God's Not Dead: A Light in Darkness",54,"Drama","Other",106,"PG",2018,3,30,"Rotten",10,1199,3252,4.5,NA,0,0,"Michael Mason","Jennifer Taylor"," John Corbett"," Ted McGinley"," Tatum O'Neal"," Shane Harper"
"Bedtime Stories",55,"Action & Adventure","Walt Disney Studios",99,"PG",2008,12,25,"Rotten",27,216519,86813,6,8e+07,0,0,"Adam Shankman","Adam Sandler"," Richard Griffiths"," Courteney Cox"," Guy Pearce"," Keri Russell"
"Between Us",34,"Comedy","Other",93,"NR",2017,1,6,"Rotten",50,101,1001,4.7,NA,0,0,"Rafael Palacio Illingworth","Olivia Thirlby"," Ben Feldman"," Adam Goldberg"," Analeigh Tipton"," Lesley Ann Warren"
"Awake",54,"Mystery & Suspense","MGM",84,"R",2007,11,30,"Rotten",24,237790,71829,6.5,8600000,0,0,"Joby Harold","Hayden Christensen"," Jessica Alba"," Terrence Howard"," Lena Olin"," Christopher McDonald"
"No Good Deed",55,"Mystery & Suspense","Sony Pictures",84,"PG-13",2014,9,12,"Rotten",12,29538,17768,5.6,13200000,0,0,"Sam Miller","Idris Elba"," Taraji P. Henson"," Kate del Castillo"," Leslie Bibb"," Henry Simmons"
"Nowhere to Run",32,"Action & Adventure","Sony Pictures",95,"R",1993,1,1,"Rotten",30,20711,101,4.9,NA,0,0,"Robert Harmon","Jean-Claude Van Damme"," Rosanna Arquette"," Kieran Culkin"," Ted Levine"," Edward Blatchford"
"I Know Who Killed Me",26,"Drama","TriStar Pictures",108,"R",2007,7,27,"Rotten",9,142871,25732,3.6,1.2e+07,0,0,"Chris Siverston","Lindsay Lohan"," Julia Ormond"," Neal McDonough"," Brian Geraghty"," Bonnie Aarons"
"A Pyromaniac's Love Story",53,"Comedy","Buena Vista Pictures",94,"PG",1995,3,28,"Rotten",0,2104,963,5.3,NA,0,0,"Joshua Brand","William Baldwin"," John Leguizamo"," Sadie Frost"," Erika Eleniak"," Michael Lerner"
"Close Range",27,"Action & Adventure","Other",90,"NR",2015,12,11,"Fresh",86,282,4442,5,3e+06,0,0,"Isaac Florentine","Scott Adkins"," Caitlin Keats"," Jake La Botz"," Nick Chinlund"," Tony Perez"
"The Ticket",30,"Drama","Other",98,"NR",2017,4,7,"Rotten",51,311,2557,5.3,1200000,0,0,"Ido Fluk","Dan Stevens"," Malin Akerman"," Kerry Bishé"," Oliver Platt"," Skylar Gaertner"
"Monsters vs. Aliens",59,"Action & Adventure","Paramount Pictures",94,"PG",2009,3,27,"Fresh",73,590386,144198,6.4,1.75e+08,0,0,"Robert Porter","Seth Rogen"," James Horan"," David Kaye"," Julie White"," Kiefer Sutherland"
"2 Days in the Valley",54,"Comedy","HBO Video",107,"R",1996,9,27,"Rotten",59,14764,18215,6.5,NA,0,0,"John Herzfeld","Danny Aiello"," Greg Cruttwell"," James Spader"," Teri Hatcher"," Charlize Theron"
"Ant-Man",86,"Action & Adventure","Walt Disney Studios",117,"PG-13",2015,7,17,"Certified-Fresh",83,166901,553758,7.3,1.3e+08,0,0,"Peyton Reed","Paul Rudd"," Michael Douglas"," Evangeline Lilly"," Corey Stoll"," Michael Peña"
"The Iron Giant",90,"Animation","Warner Bros",86,"PG",1999,7,1,"Certified-Fresh",96,204843,168313,8,7e+07,0,0,"Brad Bird","Eli Marienthal"," Vin Diesel"," Jennifer Aniston"," Harry Connick Jr."," Cloris Leachman"
"Sex Drive",58,"Comedy","Summit Entertainment",108,"R",2008,10,16,"Rotten",45,74319,82666,6.5,1.9e+07,0,0,"Sean Anders","Josh Zuckerman"," Amanda Crew"," Clark Duke"," James Marsden"," Seth Green"
"The Belko Experiment",40,"Action & Adventure","Other",90,"R",2017,3,17,"Rotten",53,9553,42528,6.1,5e+06,0,0,"Greg McLean","John Gallagher Jr."," Adria Arjona"," Tony Goldwyn"," Michael Rooker"," Sean Gunn"
"Three Wishes",52,"Comedy","HBO Video",114,"PG",1995,11,3,"Rotten",13,7780,2746,6.1,1e+07,0,0,"Martha Coolidge","Patrick Swayze"," Mary Elizabeth Mastrantonio"," Joseph Mazzello"," Seth Mumy"," David Marshall Grant"
"People Places Things",72,"Comedy","Other",86,"R",2015,8,14,"Certified-Fresh",76,4717,7869,6.9,NA,0,0,"James C. Strouse","Jemaine Clement"," Regina Hall"," Stephanie Allynne"," Celia Au"," Michael Chernus"
"Clemency",65,"Drama","Other",113,"R",2019,12,27,"Certified-Fresh",92,57,2387,6.5,NA,0,0,"Chinonye Chukwu","Alfre Woodard"," Aldis Hodge"," Wendell Pierce"," Richard Schiff"," Danielle Brooks"
